# a contact +<start> +<end> <from> <to> <rate> <range>
# A-B 00-60
a contact +0000000 +6000000 01 02 1 1
a contact +0000000 +6000000 02 01 1 1
# B-C 00-60
a contact +0000000 +6000000 02 03 1 1
a contact +0000000 +6000000 03 02 1 1
# A-C 00-60
a contact +0000000 +6000000 01 03 1 1
a contact +0000000 +6000000 03 01 1 1
# C-D 00-30
a contact +0000000 +3000000 03 04 1 1
a contact +0000000 +3000000 04 03 1 1
# A-E 10-20
a contact +0000010 +2000000 01 05 1 1
a contact +0000010 +2000000 05 01 1 1
# D-E 00-10
a contact +0000000 +1000000 04 05 1 1
a contact +0000000 +1000000 05 04 1 1
# D-E 30-40
a contact +0000030 +4000000 04 05 1 1
a contact +0000030 +4000000 05 04 1 1
# D-E 50-60
a contact +0000050 +6000000 04 05 1 1
a contact +0000050 +6000000 05 04 1 1




